structureid,annual_electricity_generation_k,first_year_bill_savings,system_size,payback_period,annual_ghg_reduction_kg,roof_size800k,system_cost
38 Westleigh Cres Structure 1,5627,881,4.893043478,10,394,44,14700
36 Westleigh Cres Structure 1,6012,941,5.227826087,9,421,51,14100
34 Westleigh Cres Structure 1,4061,636,3.531304348,10,284,32,10600
34 Westleigh Cres Structure 2,1480,232,1.286956522,10,104,12,3900
40 Westleigh Cres Structure 1,1775,278,1.543478261,10,124,14,4600
32 Westleigh Cres Structure 1,3108,486,2.702608696,10,218,25,8100
42 Westleigh Cres Structure 1,2730,427,2.373913043,10,191,20,7100
30 Westleigh Cres Structure 1,1671,262,1.453043478,10,117,15,4400
48 Westleigh Cres Structure 1,2465,386,2.143478261,10,173,20,6400
22 Westleigh Cres Structure 1,3905,611,3.395652174,10,273,31,10200
24 Westleigh Cres Structure 1,2244,351,1.951304348,10,157,20,5900
28 Westleigh Cres Structure 1,3988,624,3.467826087,10,279,35,10400
106 Burlingame Rd Structure 1,5261,823,4.574782609,10,368,42,13700
106 Burlingame Rd Structure 2,1472,230,1.28,10,103,12,3800
107 Burlingame Rd Structure 2,1909,299,1.66,10,134,15,5000
109 Burlingame Rd Structure 2,2506,392,2.179130435,10,175,20,6500
2 Westhead Rd Structure 1,2639,413,2.294782609,10,185,24,6900
117 Burlingame Rd Structure 1,2199,344,1.912173913,10,154,18,5700
111 Burlingame Rd Structure 1,6131,960,5.331304348,9,429,48,14400
1 Westhead Rd Structure 1,2028,317,1.763478261,10,142,18,5300
8 Aintree Crt Structure 1,5049,790,4.390434783,10,353,42,13200
9 Westhead Rd Structure 1,4099,641,3.564347826,10,287,34,10700
3 Chelsea Dr Structure 1,4229,662,3.677391304,10,296,32,11000
586 Horner Ave Structure 1,4588,718,3.989565217,10,321,34,12000
586 Horner Ave Structure 2,1375,215,1.195652174,10,96,12,3600
582 Horner Ave Structure 1,4860,761,4.226086957,10,340,40,12700
1 Chelsea Dr Structure 1,4362,683,3.793043478,10,305,38,11400
597 Horner Ave Structure 1,2908,455,2.528695652,10,204,26,7600
112 Burlingame Rd Structure 2,1158,181,1.006956522,10,81,9,3000
110 Burlingame Rd Structure 2,1945,304,1.691304348,10,136,14,5100
108 Burlingame Rd Structure 1,5218,817,4.537391304,10,365,41,13600
108 Burlingame Rd Structure 2,2618,410,2.276521739,10,183,19,6800
